Resolution,Server Name,Task Name,Total Applied Changes,Avg Apply Throughput (rec/sec),latency,Total Change Volume
13-Feb-2025,QLIK-REPLICATE-PROD-1,JRTLOG_JRNBRIM_TO_KAFKA,"30,252,955",323,1,219.48 GB
13-Feb-2025,QLIK-REPLICATE-PROD-1,TELJRN24_JRNBRI_TO_KAFKA,"87,767,349","1,005",164,192.14 GB
14-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB08_JRNBRIM_TO_KAFKA,"165,519,322","1,920",2,565.86 GB
14-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB10_JRNBRIM_TO_KAFKA,"299,557",15,"1,463",3.58 GB
14-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB10_JRNBRIM_TO_KAFKA_2,"299,268,966","3,538","14,028",6.31 TB
14-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB11_JRNBRIM_TO_KAFKA,"1,042,237",21,12,16.69 GB
14-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB13_JRNBRIM_TO_KAFKA,"15,650,273",345,640,23.11 GB
14-Feb-2025,QLIK-REPLICATE-PROD-1,JRTLOG_JRNBRIM_TO_KAFKA,"31,087,409",328,1,225.79 GB
14-Feb-2025,QLIK-REPLICATE-PROD-1,TELJRN24_JRNBRI_TO_KAFKA,"96,252,289","1,014",196,209.13 GB
15-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB08_JRNBRIM_TO_KAFKA,"154,133,232","1,804",2,535.32 GB
15-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB10_JRNBRIM_TO_KAFKA,"221,816",15,"1,463",2.38 GB
15-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB10_JRNBRIM_TO_KAFKA_2,"299,365,312","3,507","14,227",6.31 TB
15-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB11_JRNBRIM_TO_KAFKA,"1,045,164",14,6,16.75 GB
15-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB13_JRNBRIM_TO_KAFKA,"15,536,507",320,596,22.86 GB
15-Feb-2025,QLIK-REPLICATE-PROD-1,JRTLOG_JRNBRIM_TO_KAFKA,"31,671,837",331,1,230.05 GB
15-Feb-2025,QLIK-REPLICATE-PROD-1,TELJRN24_JRNBRI_TO_KAFKA,"98,656,086",923,207,215.72 GB
16-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB08_JRNBRIM_TO_KAFKA,"139,122,526","1,601",2,482.69 GB
16-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB10_JRNBRIM_TO_KAFKA,"111,868",0,"1,489",1.17 GB
